h1 /Title,h2/meta,body,1. h3,"Billboard Hot 100 (USA) - 1., 1992. január 25 - 1992. december 31.",Official Charts (UK),Offizielle Deutsche Charts (DE) ,2. h3,YouTube link,YouTube beágyazás link,Adatlap készítésének dátuma,Megtekintések,Like-ok száma,Dislike-ok száma,Kommentek száma,3. h3,Dal,Előadó - címke 1,Album,Műfaj,Kiadás éve,Díjak,4. h3,Wikipedia ,Deezer,Spotify,Google Play,5. h3,Dalszöveg link
Truly Madly Deeply - Savage Garden - 1997,"A Truly Madly Deeply egy Savage Garden dal, amelyet a Columbia Records , a Roadshow Music és a Sony Records 1997 márciusában adtak ki. Két hétig vezette a Billboard Hot 100-as listáját. ","A dal nem csak az Egyesült Államokban vezette a slágerlistákat, Ausztráliában, Kanadában is hatalmas sikert aratott. ",Truly Madly Deeply a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1998-01-17"",""Billboard Hot 100 (USA) - 1., 1998. január 17. - 1998. január 31."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/truly%20madly%20deeply/"",""Official Charts (UK) - 4., 1998. február 28."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3640"",""Offizielle Deutsche Charts (DE) - 11., 1998. március 23."")",Savage Garden Truly Madly Deeply a YouTube oldalán,https://www.youtube.com/watch?v=WQnAxOQxQIU,https://youtu.be/WQnAxOQxQIU,2019. szeptember 25-én,"258,930,496 megtekintés",1M like,39K dislike,"33,569 komment",Savage Garden Truly Madly Deeply című dalának adatai,Truly Madly Deeply,Savage Garden,Savage Garden,Pop,1997,,Tudj meg még többet Savage Garden Truly Madly Deeply című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Truly_Madly_Deeply"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/32146111?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5S4ycMpNlcTpLaO7u6mkkb"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tj2gvspx3ao3v5e7bwabzvd7q6e?play=1"",""Google Play"")",Savage Garden Truly Madly Deeply dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/savagegarden/trulymadlydeeply.html"",""Savage Garden Truly Madly Deeply dalszöveg"")"
Together Again - Janet Jackson - 1997,"Az1997-ben megjelent Together Again című dal kereskedelmi siker volt, 2 hétig vezette a Billboard Hot 100-as listáját. ","Két zenei videót készítettek a Together Again című dalhoz. Az eredeti videót, Seb Janiak rendezte. Janet Jacksont és táncosait futurisztikus afrikai paradicsomban mutatják be, ahol az emberek egymás mellett élnek vadállatokkal.",Together Again a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1998-01-31"",""Billboard Hot 100 (USA) - 1., 1998. január 31. - 1998. február 14."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/together%20again/"",""Official Charts (UK) - 4., 1997. december 13."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3590"",""Offizielle Deutsche Charts (DE) - 2., 1998. december 15."")",Janet Jackson Together Again a YouTube oldalán,https://www.youtube.com/watch?v=vfK5QhZ9u7o,https://youtu.be/vfK5QhZ9u7o,2019. szeptember 25-én,"10,128,456 megtekintés",48K like,2K dislike,"2,389 komment",Janet Jackson Together Again című dalának adatai,Together Again,Janet Jackson,The Velvet Rope,"House, dance, post-disco",1997,Jelölés: MTV Video Music Award a legjobb táncvideó,Tudj meg még többet Janet Jackson Together Again című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Together_Again_(Janet_Jackson_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/3134021?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6ZANEjETQ9L9pjBuvOAhCQ"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tbb3qkjzuvg2cpi6og2ntikhgz4?play=1"",""Google Play"")",Janet Jackson Together Again dalszöveg,"=HYPERLINK(""https://genius.com/Janet-jackson-together-again-lyrics"",""Janet Jackson Together Again dalszöveg"")"
Nice & Slow - Usher - 1997,"A Nice & Slow című dal nemzetközi siker volt, 2 hétig vezette a Billboard Hot 100-as listáját. ","A Nice & Slow című dalt Usher, Jermaine Dupri, Manuel Seal, Brandon Casey és Brian Casey írta. Nice & Slow egy lassú R & B , pop és soul ballada a hip-hop hatásokkal.",Nice & Slow a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1998-02-14"",""Billboard Hot 100 (USA) - 1., 1998. február 14. - 1998. február 28."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/nice%20_and_%20slow/"",""Official Charts (UK) - 24., 1998. május 2."")",-,Usher Nice & Slow a YouTube oldalán,https://www.youtube.com/watch?v=DIpQ4AZSAf8,https://youtu.be/DIpQ4AZSAf8,2019. szeptember 26-án,"32,562,165 megtekintés",169K like,5.9K dislike,"4,673 komment",Usher Nice & Slow című dalának adatai,Nice & Slow,Usher,My Way,Contemporary R&B,1997,Jelölés: Billboard Music Award az R&B Singles:  Az Év Airplay pályája,Tudj meg még többet Usher Nice & Slow című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Nice_%26_Slow"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/13144296?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/0fQdoem8dnrl80YcZzQ8f0"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tjrwtkws7oypf24v6wza2zhad5m?play=1"",""Google Play"")",Usher Nice & Slow dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/usher/niceandslow.html"",""Usher Nice & Slow dalszöveg"")"
My Heart Will Go On - Celine Dion - 1997,"A My Heart Will Go On című dal, James Cameron álltal rendezett kasszasiker Titanic című film betétdala. A dal nemzetközi siker volt, 1998. február 28-án elérte a Billboard Hot 100-as lista élét. ","A dalt minden idők egyik legkelendőbb kislemezének tekintik. A My Heart Go Go On elnyerte az 1998. évi Akadémia díját, A legjobb eredeti dalként továbbá a Billboard Zenei Díjat, Az Év Soundtrackjáért.",My Heart Will Go On a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1998-02-28"",""Billboard Hot 100 (USA) - 1., 1998. február 28. - 1998. március 14."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/my%20heart%20will%20go%20on/"",""Official Charts (UK) - 1., 1998. február 21."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3595"",""Offizielle Deutsche Charts (DE) - 1., 1998. január 5."")",Celine Dion My Heart Will Go On a YouTube oldalán,https://www.youtube.com/watch?v=MhfhNzbGtAs,https://youtu.be/MhfhNzbGtAs,2019. szeptember 26-án,"29,957,098 megtekintés",286K like,7.8K dislike,"9,403 komment",Celine Dion My Heart Will Go On című dalának adatai,My Heart Will Go On,Celine Dion,Let's Talk About Love,Pop,1997,"Akadémia díj: A legjobb eredeti dal, Billboard Zenei Díj: Az Év Soundtrackje",Tudj meg még többet Celine Dion My Heart Will Go On című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/My_Heart_Will_Go_On"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/14552280?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/3SwxRkHbAarf3wWlInRTzA"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tuugyh5v77dxor47pb3zuowk75m?play=1"",""Google Play"")",Celine Dion My Heart Will Go On dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/celinedion/myheartwillgoon.html"",""Celine Dion My Heart Will Go On dalszöveg"")"
Gettin' Jiggy Wit It - Will Smith - 1997,"A Gettin 'Jiggy wit It, az amerikai színész és rapper, Will Smith kislemeze. Az 1998 januárjában kiadott dal Smith második slágere volt, amelyet Poke & Tone és a LES készített. A dal 1998. március 14-én átvette a vezetést a Billboard Hot 100-as listáján, három hétig vezette. ","Gettin' Jiggy Wit It című dalt, a VH1 az 1990-es évek 68. legnagyobb dalának minősítette. A dal mindazonáltal szerepelt még a Pitchfork Media 2010. évi listáján is, mint a 90-es évek hét legrosszabb kislemezének egyike. ",Gettin' Jiggy Wit It a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1998-03-14"",""Billboard Hot 100 (USA) - 1., 1998. március 14. - 1998. április 4."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/gettin'%20jiggy%20wit%20it/"",""Official Charts (UK) - 3., 1998. február 7."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3631"",""Offizielle Deutsche Charts (DE) - 18., 1998. március 16."")",Will Smith Gettin' Jiggy Wit It a YouTube oldalán,https://www.youtube.com/watch?v=3JcmQONgXJM,https://youtu.be/3JcmQONgXJM,2019. szeptember 26-án,"57,746,280 megtekintés",337K like,11K dislike,"13,140 komment",Will Smith Gettin' Jiggy Wit It című dalának adatai,Gettin' Jiggy Wit It,Will Smith,Big Willie Style,Hip-Hop/Rap,1997,"Jelölés: MTV Video Music Award: A legjobb táncvideó, MTV Video Music Award: Az Év Videója",Tudj meg még többet Will Smith Gettin' Jiggy Wit It című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Gettin%27_Jiggy_wit_It"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/15589683?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/2esWeP8Ln1sXA0jbDmi3Zq"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tnhtk3qgr4fkwtqzen2oqx4gyfy?play=1"",""Google Play"")",Will Smith Gettin' Jiggy Wit It dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/willsmith/gettinjiggywitit.html"",""Will Smith Gettin' Jiggy Wit It dalszöveg"")"
K-Ci & JoJo - All My Life - 1997,"Az All My Life című dalt, Joel JoJo Hailey és Rory Bennett testvérek készítették és írták a K-Ci & JoJo debütáló stúdióalbumára, a Love Always-re. Az All My Life kereskedelmi siker volt, három egymást követő hétig vezette a Billboard Hot 100-as listáját. ","A zenekritikusok, K-Ci & JoJo testvérpár karierjének legsikeresebb dalának minősítették az All My Life című dalt. ",All My Life a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1998-04-04"",""Billboard Hot 100 (USA) - 1., 1998. április 4. - 1998. április 25."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/all%20my%20life/"",""Official Charts (UK) - 8., 1998. május 18."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3687"",""Offizielle Deutsche Charts (DE) - 5., 1998. május 13."")",K-Ci & JoJo All My Life a YouTube oldalán,https://www.youtube.com/watch?v=DXvMT_mVbqw,https://youtu.be/DXvMT_mVbqw,2019. szeptember 26-án,"168,221,748 megtekintés",803K like,35K dislike,"22,926 komment",K-Ci & JoJo All My Life című dalának adatai,All My Life,K-Ci & JoJo,Love Always,Contemporary R&B,1997,"Jelölés: Grammy-díj: A legjobb R&B dal, A Billboard Music Award: Az R&B Singles Év Airplay pályája",Tudj meg még többet K-Ci & JoJo All My Life című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/All_My_Life_(K-Ci_%26_JoJo_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/80858850?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5cmtcMzuUZq8vxS5T7NVPu"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tglb4lwzorexa5bewlhtskk7vau?play=1"",""Google Play"")",K-Ci & JoJo All My Life dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/kcijojo/allmylife.html"",""K-Ci & JoJo All My Life dalszöveg"")"
Too Close - Next - 1997,"A Too Close című dal, 1997 szeptemberében jelent meg, a második singlként az együttes Rated Next debütáló albumáról. A dal elérte az első helyet a Billboard Hot 100-as listán és az R&B listáiban. Az együttes legnagyobb és legismertebb slágere lett. ","A Too Close hamar platina lemez lett, négy hétig vezette a Billboard Hot 100-as listáját. ",Too Close zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1998-04-25"",""Billboard Hot 100 (USA) - 1., 1998. április 25. - 1998. május 23."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/too%20close/"",""Official Charts (UK) - 24., 1998. június 6."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3727"",""Offizielle Deutsche Charts (DE) - 43., 1998. május 11."")",Next Too Close a YouTube oldalán,https://www.youtube.com/watch?v=kwEZRPkAAu8,https://youtu.be/kwEZRPkAAu8,2019. szeptember 26-án,"72,234,529 megtekintés",355K like,18K dislike,"13,060 komment",Next Too Close című dalának adatai,Too Close,Next,Rated Next,R&B,1997,,Tudj meg még többet Next Too Close című daláról ,"=HYPERLINK(""https://en.wikipedia.org/wiki/Too_Close_(Next_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/101516634"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6OlIbU9i7OaBrBqx7ZYAFS"",""Spotify"")","=HYPERLINK(""https://play.google.com/store/music/album/Next_Too_Close_EP?id=Bjlwzvtefc3xomdo6jpeiop27ea&tid=song-Tzbn7w4abyogvrlsgkkd7pib2ku"",""Google Play"")",Next Too Close dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/next/tooclose.html"",""Next Too Close dalszöveg"")"
My All - Mariah Carey - 1997,"Az Egyesült Államokban, a My All című dal lett Carey tizenharmadik dala, mely a Billboard Hot 100-as listát élére került. ","A dalt Mariah Carey és Walter Afanasieff írta és készítette. A My All című dal, latin gitár akkord dallamok körül épül és finoman használja a latin ütős hangszereket a megszokott R&B stílus mellett.",My All a zenei listákon,"=HYPERLINK(""billboard.com/charts/hot-100/1998-05-23"",""Billboard Hot 100 (USA) - 1., 1998. május 23. - 1998. május 30."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/my%20all/"",""Official Charts (UK) - 4., 1998. június 13."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3695"",""Offizielle Deutsche Charts (DE) - 30., 1998. június 1."")",Mariah Carey My All a YouTube oldalán,https://www.youtube.com/watch?v=mIhI23gBBPQ,https://youtu.be/mIhI23gBBPQ,2019. szeptember 27-én,"137,575,168 megtekintés",538K like,19K dislike,"19,710 komment",Mariah Carey My All című dalának adatai,My All,Mariah Carey,Butterfly,Contemporary R&B,1997,,Tudj meg még többet Mariah Carey My All című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/My_All"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/15213062?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/7aDBFWp72Pz4NZEtVBANi9"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tiuerm5q3ga7bkna6wnz2sbt2ai?play=1"",""Google Play"")",Mariah Carey My All dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/mariahcarey/myall.html"",""Mariah Carey My All dalszöveg"")"
Too Close - Next - 1997,"A Too Close című dal, 1997 szeptemberében jelent meg, a második singlként az együttes Rated Next debütáló albumáról. A dal elérte az első helyet a Billboard Hot 100-as listán és az R&B listáiban. Az együttes legnagyobb és legismertebb slágere lett. ","A Too Close hamar platina lemez lett, négy hétig vezette a Billboard Hot 100-as listáját. ",Too Close zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1998-05-30"",""Billboard Hot 100 (USA) - 1., 1998. május 30. - 1998. június 6."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/too%20close/"",""Official Charts (UK) - 24., 1998. június 6."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3727"",""Offizielle Deutsche Charts (DE) - 43., 1998. május 11."")",Next Too Close a YouTube oldalán,https://www.youtube.com/watch?v=kwEZRPkAAu8,https://youtu.be/kwEZRPkAAu8,2019. szeptember 27-én,"72,234,529 megtekintés",355K like,18K dislike,"13,060 komment",Next Too Close című dalának adatai,Too Close,Next,Rated Next,R&B,1997,,Tudj meg még többet Next Too Close című daláról ,"=HYPERLINK(""https://en.wikipedia.org/wiki/Too_Close_(Next_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/101516634"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6OlIbU9i7OaBrBqx7ZYAFS"",""Spotify"")","=HYPERLINK(""https://play.google.com/store/music/album/Next_Too_Close_EP?id=Bjlwzvtefc3xomdo6jpeiop27ea&tid=song-Tzbn7w4abyogvrlsgkkd7pib2ku"",""Google Play"")",Next Too Close dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/next/tooclose.html"",""Next Too Close dalszöveg"")"
The Boy Is Mine - Brandy & Monica - 1998,"Az 1998-as, The Boy Is Mine című dalt, Michael Jackson és Paul McCartney 1982-es duettje a The Girl Is Mine című dala ihlette. Az USA-ban 13 hétig vezette a Billboard Hot 100-as listát. ","A Billboard Hot 100-as diagram történetében a második dal lett, amely közvetlenül az első helyre emelkedett a listán. Továbbá a The Boy Is Mine című dal, Grammy-díjat nyert a Legjobb R & B Performance, duó vagy csoport kategóriában. ",The Boy Is Mine a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1998-06-06?rank=1"",""Billboard Hot 100 (USA) - 1., 1998. június 6. - 1998. szeptember 5."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/the%20boy%20is%20mine/"",""Official Charts (UK) - 2., 1998. június 6."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3709"",""Offizielle Deutsche Charts (DE) - 5., 1998. június 22."")",Brandy & Monica The Boy Is Mine a YouTube oldalán,https://www.youtube.com/watch?v=jBmkCoiHC2c,https://youtu.be/jBmkCoiHC2c,2019. szeptember 27-én,"68,292,266 megtekintés",299K like,10K dislike,"10,657 komment",Brandy & Monica The Boy Is Mine című dalának adatai,The Boy Is Mine,Brandy & Monica,The Boy Is Mine,"Contemporary R&B, R&B/Soul",1998,"Grammy-díj: A Legjobb R & B Performance, duó vagy csoport kategória",Tudj meg még többet Brandy & Monica The Boy Is Mine című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/The_Boy_Is_Mine_(song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/662355?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1Co6e9ag1gRKcWdG7xKcCi"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T7keb7nwkz4zie6lvan5yq23bry?play=1"",""Google Play"")",Brandy & Monica The Boy Is Mine dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/brandy/theboyismine.html"",""Brandy & Monica The Boy Is Mine dalszöveg"")"
