h1 /Title,h2/meta,body,1. h3,"Billboard Hot 100 (USA) - 1., 1992. január 25 - 1992. december 31.",Official Charts (UK),Offizielle Deutsche Charts (DE) ,2. h3,YouTube link,YouTube beágyazás link,Adatlap készítésének dátuma,Megtekintések,Like-ok száma,Dislike-ok száma,Kommentek száma,3. h3,Dal,Előadó - címke 1,Album,Műfaj,Kiadás éve,Díjak,4. h3,Wikipedia ,Deezer,Spotify,Google Play,5. h3,Dalszöveg link
All for love - Bryan Adams/Rod Stewart/Sting - 1994,"Az Egyesült Államokban a kislemez 1994-ben január 22-én érte el a Billboard Hot 100 első helyét,a toplista tetején három hétig volt. ","Az All for Love című dal, Bryan Adams , Robert John ""Mutt"" Lange és Michael Kamen írt a Három muskétás című film betétdalának. Adams 1994-ben élő változatot is készített, melyben Luciano Pavarotti , Andrea Bocelli , Nancy Gustafson és Giorgia Todrani is szerepel.",All for love a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1994-01-22"",""Billboard Hot 100 (USA) - 1., 1994. január 22. - 1994. február 12."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/all%20for%20love/"",""Official Charts (UK) - 2., 1994. január 15."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2725"",""Offizielle Deutsche Charts (DE) - 1., 1994. január 10."")",Bryan Adams/Rod Stewart/Sting All for love a YouTube oldalán,https://www.youtube.com/watch?v=ofA3URC1wyk,https://youtu.be/ofA3URC1wyk,2019. augusztus 31-én,"77,511,657 megtekintés",300K like,11K dislike,"11,380 komment",Bryan Adams/Rod Stewart/Sting All for love című dalának adatai,All for love,Bryan Adams/Rod Stewart/Sting,The Three Musketeers,Rock,1993,-,Tudj meg még többet Bryan Adams/Rod Stewart/Sting All for love című daláról ,"=HYPERLINK(""https://en.wikipedia.org/wiki/All_for_Love_(song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/2512092?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/3AUHDaXUhZimlDLFh4sTDV"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tjoyr5xatdto4hbfa5hw6vx36xe?play=1&u=0"",""Google Play"")",Bryan Adams/Rod Stewart/Sting All for love dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/bryanadams/allforlove.html"",""Bryan Adams/Rod Stewart/Sting All for love dalszöveg"")"
The Power of Love - Céline Dion - 1993,"Céline Dion első számú amerikai dala a The Power of Love, 1994 februárjában négy hétig vezette Billboard Hot 100 -as listát. ","A dalt,  Jennifer Rush munkája és eredetileg 1984-ben rögzítette . Több művész feldolgozta,  köztük az Air Supply , Celine Dion és Laura Branigan is .",The Power of Love a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1994-02-12"",""Billboard Hot 100 (USA) - 1., 1994. február 12. - 1994. március 12."")",-,"=HYPERLINK(""https://www.offiziellecharts.de/titel-details-11847"",""Offizielle Deutsche Charts (DE) - 57., 1994. február 21."")",Celine Dion The Power Of Love a YouTube oldalán,https://www.youtube.com/watch?v=Y8HOfcYWZoo,https://youtu.be/Y8HOfcYWZoo,2019. szeptember 04-én,"112,709,289 megtekintés",422K like,20K dislike,"15,964 komment",Celine Dion The Power Of Love című dalának adatai,The Power of Love,Celine Dion,The Colour of My Love,Pop,1993,Jelölés: Grammy-díj: A legjobb női pop előadó ,Tudj meg még töbett Celine Dion The Power Of Love című daláról,-,"=HYPERLINK(""https://www.deezer.com/sv/track/70627953?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6Po5zdKMIH5Xk99vjXyQpC"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tlwoatvdsf5upkjxmtadowib2iq?play=1"",""Google Play"")",Celine Dion The Power Of Love dalszöveg,"=HYPERLINK(""azlyrics.com/lyrics/celinedion/thepoweroflove.html"",""Celine Dion The Power Of Love dalszöveg"")"
The Sign - Ace of Base - 1993,A svéd zenekar hat nem egymást követő hetet töltött az első helyen a Billboard Hot 100-as listán. ,"Európában az Ace of Base debütáló albumát Happy Nation néven hívták . Amikor Arista előkészítette az amerikai album kiadását, a kiadó azt gondolta, hogy néhány új számot is felhasználhat. A zenekar már The Sign néven adta ki második albumát.",The Sign a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1994-03-12"",""Billboard Hot 100 (USA) - 1., 1994. március 12. - 1994. április 9."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/the%20sign/"",""Official Charts (UK) - 5., 1994. február 26."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2699"",""Offizielle Deutsche Charts (DE) - 1., 1994. november 15."")",Ace Of Base The Sign a YouTube oldalán,https://www.youtube.com/watch?v=iqu132vTl5Y,https://youtu.be/iqu132vTl5Y,2019. szeptember 04-én,"46,715,905 megtekintés",245K like,8.2K dislike,"12,039 komment",Ace Of Base The Sign című dalának adatai,The Sign,Ace Of Base,Happy Nation,Euro reggae dance-pop,1993,,Tudj meg még többet Ace Of Base The Sign című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/The_Sign_(song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/19271661?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/0nQFgMfnmWrcWDOQqIgJL7"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T5ynyhfmepf2debc5fudlph566u?play=1"",""Google Play"")",Ace Of Base The Sign dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/aceofbase/thesign.html "",""Ace Of Base The Sign dalszöveg"")"
Bump N' Grind - R.Kelly - 1993,"A Bump N'Grind című  az  US Billboard Hot 100-as lista első helyért is elérte 1994-ben, ideiglenesen megszakítva az Ace of Base "" The Sign "" hathetes futását.",,Bump N' Grind a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1994-04-09"",""Billboard Hot 100 (USA) - 1., 1994. április 9. - 1994. május 7."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/bump%20n'%20grind/"",""Official Charts (UK) - 8., 1994. január 21."")",-,R. Kelly Bump N' Grind a YouTube oldalán,https://www.youtube.com/watch?v=uAXxkNaRkp8,https://youtu.be/uAXxkNaRkp8,2019. szeptember 04-én,"38,481,868 megtekintés",175K like,9.2K dislike,"7,663 komment",R. Kelly Bump N' Grind című dalának adatai,Bump N' Grind,R. Kelly,12 Play,R&B/Soul,1993,,Tudj meg még többet R. Kelly Bump N' Grind című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Bump_n%27_Grind_(R._Kelly_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/629312?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/11UWeyxXNreHeZwEViqs3y"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tatgusbwx526jjy3h4aarhajps4?play=1"",""Google Play"")",R. Kelly Bump N' Grind dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/rkelly/bumpngrind.html"",""R. Kelly Bump N' Grind dalszöveg"")"
The Sign - Ace of Base - 1993,"The Sighn című dal nemzetközi sláger volt, elérte a második helyet az Egyesült Királyságban, és hat nem egymást követő hetet töltött az első helyen a Billboard Hot 100 -as listán is. ","Európában az Ace of Base debütáló albumát Happy Nation néven hívták . Amikor Arista előkészítette az amerikai album kiadását, a kiadó azt gondolta, hogy néhány új számot is felhasználhat. A zenekar már The Sign néven adta ki második albumát.",The Sign a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1994-05-07"",""Billboard Hot 100 (USA) - 1., 1994. május 7. - 1994. május 21."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/the%20sign/"",""Official Charts (UK) - 5., 1994. február 26."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2699"",""Offizielle Deutsche Charts (DE) - 1., 1994. november 15."")",Ace Of Base The Sign a YouTube oldalán,https://www.youtube.com/watch?v=iqu132vTl5Y,https://youtu.be/iqu132vTl5Y,2019. szeptember 04-én,"46,715,905 megtekintés",245K like,8.2K dislike,"12,039 komment",Ace Of Base The Sign című dalának adatai,The Sign,Ace Of Base,Happy Nation,Euro reggae dance-pop,1993,,Tudj meg még többet Ace Of Base The Sign című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/The_Sign_(song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/19271661?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/0nQFgMfnmWrcWDOQqIgJL7"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T5ynyhfmepf2debc5fudlph566u?play=1"",""Google Play"")",Ace Of Base The Sign dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/aceofbase/thesign.html "",""Ace Of Base The Sign dalszöveg"")"
I Swear - All-4-One - 1993,A dal 10 hétig vezette a Billboard Hot 100-as listáját. ," A dalt Gary Baker, Frank J. Myers, John Michael Montgomery amerikai country zenész írta 1993-ban. ",I Swear a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1994-05-21"",""Billboard Hot 100 (USA) - 1., 1994. május 21. - 1994. augusztus 6."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/i%20swear/"",""Official Charts (UK) - 2., 1994. június 18."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2827"",""Offizielle Deutsche Charts (DE) - 1., 1994. június 27."")",All-4-One I Swear a YouTube oldalán,https://www.youtube.com/watch?v=25rL-ooWICU,https://youtu.be/25rL-ooWICU,2019. szeptember 04-én,"26,114,652  megtekintés",201K like,5.5K dislike,"7,833  komment",All-4-One I Swear című dalának adatai,I Swear,All-4-One,Kickin' It Up,Country,1993,,Tudj meg még többet All-4-One I Swear című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/I_Swear"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/639462802?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/4L5ZA0GukWNWjsk9b7HHDy"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T66jl43qjli6jaqwr5sefy5xlpe?play=1"",""Google Play"")",All-4-One I Swear dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/all4one/isweartwenty.html"",""All-4-One I Swear dalszöveg"")"
Stay (I Missed You) - Lisa Loeb - 1994,"A Stay című dalt 1994 májusában adták ki,Reality Bites című film vezető kislemezeként. A Stay című dal végül a Billboard Hot 100 toplista első helyét is elérte. ","Érdekesség, hogy Lisa Loeb egyetlen lemezkiadóval sem volt szerződésben amikor a Stay című slágere elérte a Billoard Hot 100-as lista első helyét. ",Stay (I Missed You) a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1994-08-06"",""Billboard Hot 100 (USA) - 1., 1994. augusztus 6. - 1994. augusztus 27."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/stay%20(i%20missed%20you)/"",""Official Charts (UK) - 6., 1994. szeptember 3."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-99883"",""Offizielle Deutsche Charts (DE) - 59., 1994. augusztus 22."")",Lisa Loeb Stay (I Missed You) a YouTube oldalán,https://www.youtube.com/watch?v=9Z_H11F7WDI,https://youtu.be/9Z_H11F7WDI,2019. szeptember 04-én,"2,296,147 megtekintés",9.5K like,451 dislike,771 komment,Lisa Loeb Stay (I Missed You) című dalának adatai,Stay (I Missed You),Lisa Loeb,Reality Bites soundtrack,"Pop,rock",1994,Jelölés: Grammy-díj a legjobb pop-előadás duó vagy csoport kategóriában,Tudj meg még többet Lisa Loeb Stay (I Missed You) című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Stay_(I_Missed_You)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/393731742?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6T9F35NdrGIdrMrVAwBEb7"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tlylscpta52nrugwbztqlxut5ay?play=1"",""Google Play"")",Lisa Loeb Stay (I Missed You) dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/lisaloeb/stay.html"",""Lisa Loeb Stay (I Missed You) dalszöveg"")"
I'll Make Love To You - Boyz II Men - 1994,A kislemez hatalmas kereskedelmi siker volt. Az első helyet 14 hétig birtokolta a Billboard Hot 100- as listán.,"Érdekesség, hogy a 14 hétig tartó első helyezést a Billboard hot 100-as listán az albumon szereplő másik dal váltja le, az On Bended Knee.",I'll Make Love To You a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1994-08-27"",""Billboard Hot 100 (USA) - 1., 1994. augusztus 27. - 1994. november 26."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/i'll%20make%20love%20to%20you/"",""Official Charts (UK) - 5., 1994. szeptember 3."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2855"",""Offizielle Deutsche Charts (DE) - 20., 1994. szeptember 5."")",Boyz II Men I'll Make Love To You a YouTube oldalán,https://www.youtube.com/watch?v=fV8vB1BB2qc,https://youtu.be/fV8vB1BB2qc,2019. szeptember 05-én,"129,626,319 megtekintés",495K like,21K dislike,"14,979 komment",Boyz II Men I'll Make Love To You című dalának adatai,I'll Make Love To You,Boyz II Men,II,"Contemporary R&B, Pop",1994,,Tudj meg még többet Boyz II Men I'll Make Love To You című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/I%27ll_Make_Love_to_You"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/13947059?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/03DEKGkvYKs8PQhhCLkuAa"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tly3ytgcuafdfqc7qf52tf5yesu?play=1"",""Google Play"")",Boyz II Men I'll Make Love To You dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/boyziimen/illmakelovetoyou.html"",""Boyz II Men I'll Make Love To You dalszöveg"")"
On Bended Knee - Boyz II Men - 1994,"Az On Bended Knee 1994-ben jelent meg, második kislemezként. Hamar a Billboard Hot 100-as lista élére került. ","A dalt, amelyet Jimmy Jam és Terry Lewis írta és készítette. A Billboard listán saját dalát az I'll Make Love To You című számát váltotta le az On Bended Knee. A Beatles óta nem fordult elő ilyen. ",On Bended Knee a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1994-12-03"",""Billboard Hot 100 (USA) - 1., 1994. november 26. - 1994. december 17."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/on%20bended%20knee/"",""Official Charts (UK) - 20., 1994. november 26."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-23337"",""Offizielle Deutsche Charts (DE) - 63., 1995. január 2."")",Boyz II Men On Bended Knee a YouTube oldalán,https://www.youtube.com/watch?v=jSUSFow70no,https://youtu.be/jSUSFow70no,2019. szeptember 05-én,"80,051,188 megtekintés",301K like,14K dislike,"12,661 komment",Boyz II Men On Bended Knee című dalának adatai,On Bended Knee,Boyz II Men,II,"Contemporary R&B, Pop",1994,,Tudj meg még többet Boyz II Men On Bended Knee című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/On_Bended_Knee"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/1104299?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/3ZmM5U2amDgT3jQTYrVPVi"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tssxsgmn4v5rda3tgetnjkph6xe?play=1"",""Google Play"")",Boyz II Men On Bended Knee dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/boyziimen/onbendedknee202859.html"",""Boyz II Men On Bended Knee dalszöveg"")"
Here Comes The Hotstepper - Ini Kamoze - 1994,"A dal 1994-ben jelent meg, 3 hétig vezette a Billboard Hot 100-as listáját. ","A dal Kamozenak az egyetlen dal volt, amely elérte a Billboard Hot 100-as listát az Egyesült Államokban. Nemzetközi sikerekben gazdag volt Dánia és Új-Zéland első számú slágere lett, továbbá tizenkét másik ország tíz legjobb slágere is.",Here Comes The Hotstepper a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1994-12-17"",""Billboard Hot 100 (USA) - 1., 1994. december 17. - 1994. december 31."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/here%20comes%20the%20hotstepper/"",""Official Charts (UK) - 4., 1995. január 7."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2939"",""Offizielle Deutsche Charts (DE) - 6., 1995. január 7."")",Ini Kamoze Here Comes The Hotstepper a YouTube oldalán,https://www.youtube.com/watch?v=eEJ2b6IaGWU,https://youtu.be/eEJ2b6IaGWU,2019. szeptember 05-én,"26,242,258 megtekintés",243K like,6.6K dislike,"4,940 komment",Ini Kamoze Here Comes The Hotstepper című dalának adatai,Here Comes The Hotstepper,Ini Kamoze,Prêt-à-Porter,Pop,1994,,Tudj meg még többet Ini Kamoze Here Comes The Hotstepper című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Here_Comes_the_Hotstepper"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/46139411?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6odcotWv2xd7NP7RrGBS5b"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T5fnpb4dsxuc6actqpqz6fnbtq4?play=1"",""Google Play"")",Ini Kamoze Here Comes The Hotstepper dalszöveg,"=HYPERLINK(""https://genius.com/Ini-kamoze-here-comes-the-hotstepper-lyrics"",""Ini Kamoze Here Comes The Hotstepper dalszöveg"")"
