h1 /Title,h2/meta,body,1. h3,"Billboard Hot 100 (USA) - 1., 1992. január 25 - 1992. december 31.",Official Charts (UK),Offizielle Deutsche Charts (DE) ,2. h3,YouTube link,YouTube beágyazás link,Adatlap készítésének dátuma,Megtekintések,Like-ok száma,Dislike-ok száma,Kommentek száma,3. h3,Dal,Előadó - címke 1,Album,Műfaj,Kiadás éve,Díjak,4. h3,Wikipedia ,Deezer,Spotify,Google Play,5. h3,Dalszöveg link
A Whole New World - Peabo Bryson & Regina Belle - 1992,"Az 1992-es dal az Aladdin című játékfilm szerelmi témájú balladája. A dal elérte az amerikai Billboard Hot 100 -as lista első helyét, 1993 március 6-án.","A film első kiadásakor a dal, 1992-ben, világszerte 22 nyelven, összesen 22 változatban jelent meg. ",A Whole New World a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1993-03-06"",""Billboard Hot 100 (USA) - 1., 1993. március 6. - 1993. március 13."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/a%20whole%20new%20world/"",""Offizielle Deutsche Charts (DE) - 12., 1993. november 12."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-61374"",""Offizielle Deutsche Charts (DE) - 70., 1994. január 24."")",Peabo Bryson & Regina Belle A Whole New World a YouTube oldalán,https://www.youtube.com/watch?v=PmvT7B3u7II,https://youtu.be/PmvT7B3u7II,2019. szeptember 08-án,"19,334,201 megtekintések",124K like,3.3K dislike,"9,096 komment",Peabo Bryson & Regina Belle A Whole New World című dalának adatai,A Whole New World,Peabo Bryson & Regina Belle ,Aladdin: Original Motion Picture Soundtrack,Children's Music,1992," Grammy-díj a legjobb pop-előadás, duó ",Tudj meg még többet Peabo Bryson & Regina Belle A Whole New World című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/A_Whole_New_World"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/120917690?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1Eq5qk8DnHWGOZT2cAASP2"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tf4264goygte4mkamqjec62n7qq?play=1"",""Google Play"")",Peabo Bryson & Regina Belle A Whole New World dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/peabobryson/awholenewworld.html"",""Peabo Bryson & Regina Belle A Whole New World dalszöveg"")"
Informer - Snow - 1993,Az 1993-ban megjelent dal hét egymást követő héten vezette a Billboard Hot 100-as listáját. ,"A dal egy különálló 1989-es eseményen alapszik, amikor Snow-t két gyilkossági kísérlettel vádolták. ",Informer a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1993-03-13"",""Billboard Hot 100 (USA) - 1., 1993. március 13. - 1993. május 1."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/informer/"",""Offizielle Deutsche Charts (DE) - 2., 1993. március 13."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2603"",""Offizielle Deutsche Charts (DE) - 1., 1993. április 5."")",Snow Informer a YouTube oldalán,https://www.youtube.com/watch?v=StlMdNcvCJo,https://youtu.be/StlMdNcvCJo,2019. szeptember 08-án,"49,839,548 megtekintés",254K like,8.1K dislike,"15,512 komment",Snow Informer című dalának adatai,Informer,Snow,12 Inches of Snow,Reggae,1993,Juno díj az év reggae felvétele,Tudj meg még többet Snow Informer című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Informer_(song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/557351632?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/4Vgfju8ycvtaA2suyDY6c9"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tocfatx2cx65tdq3fdrtw6matqa?play=1"",""Google Play"")",Snow Informer dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/snow/informer.html"",""Snow Informer dalszöveg"")"
Freak Me - Silk - 1992,"Billboard Hot100-as listát két héten át vezette a Freak Me című dal, 1993-ban. ", A Hot 100-on a dal tíz hetet töltött a második helyen.,Freak Me a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1993-05-01"",""Billboard Hot 100 (USA) - 1., 1993. május 1. - 1993. május 15."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/freak%20me/"",""Offizielle Deutsche Charts (DE) - 46., 1993. április 24."")",-,Silk Freak Me a YouTube oldalán,https://www.youtube.com/watch?v=Ry6XUsow4Vg,https://youtu.be/Ry6XUsow4Vg,2019. szeptember 08-án,"19,822,201 megtekintés",174K like,6.1K dislike,"4,631 komment",Silk Freak Me című dalának adatai,Freak Me,Silk,Lose Control,"Contemporary R&B, R&B/Soul",1992,,Tudj meg még többet Silk Freak Me című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Freak_Me"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/585198712?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1xpLhBWzlWJsx2jOarbPHF"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T2c5d7mgqob3pctrsjl4be3hxbi?play=1"",""Google Play"")",Silk Freak Me dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/silk/freakme.html"",""Silk Freak Me dalszöveg"")"
That's the Way Love Goes - Janet Jackson - 1993,"A dal 1993. április 20-án jelent meg, Janet album vezető kislemezeként. Ez volt az egyik leghosszabb uralkodású dal 1993-ban, nyolc hétig vezette a Billboard Hot 100-at.","Ez a kilencvenes évek tizenhetedik legnagyobb slágere,világszerte több mint hárommillió példányban kelt el. ",That's the Way Love Goes a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1993-05-15"",""Billboard Hot 100 (USA) - 1., 1993. május 15. - 1993.július 10."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/that's%20the%20way%20love%20goes/"",""Offizielle Deutsche Charts (DE) - 2., 1993. május 8."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2609"",""Offizielle Deutsche Charts (DE) - 9., 1993. május 17."")",Janet Jackson That's The Way Love Goes a YouTube oldalán,https://www.youtube.com/watch?v=TJgiTCkoJFM,https://youtu.be/TJgiTCkoJFM,2019. szeptember 08-án,"4,007,815 megtekintés",46K like,4.8K dislike,660 komment,Janet Jackson That's The Way Love Goes című dalának adatai,That's the Way Love Goes ,Janet Jackson,Janet,R&B pop,1993,,Tudj meg még többet Janet Jackson That's The Way Love Goes című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/That%27s_the_Way_Love_Goes_(Janet_Jackson_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/620973622?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/7qIuZgsMkRuh7rzi4qVcpg"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Ta7toemefsdsbxlspxza2vypnna?play=1"",""Google Play"")",Janet Jackson That's The Way Love Goes dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/janetjackson/thatsthewaylovegoes.html"",""Janet Jackson That's The Way Love Goes dalszöveg"")"
Weak - SWV - 1992,"A dal 1993 májusában jelent meg a világ legtöbb országában. Végül az USA Billboard Hot 100 első számú helyére emelkedett, és hét hétig vezette. ","A Can't Help Falling in Love című dal 1961 jelent meg eredetelig, amelyet Elvis Presley amerikai énekes rögzített, a Blue Hawaii (1961) albumán . ",Weak a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1993-07-10"",""Billboard Hot 100 (USA) - 1., 1993. július 10. - 1993.július 24."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/weak/"",""Offizielle Deutsche Charts (DE) - 33., 1993. június 26."")",-,SWV Weak a YouTube oldalán,https://www.youtube.com/watch?v=976b8TPPFJU,https://youtu.be/976b8TPPFJU,2019. szeptember 09-én,"34,665,518 megtekintés",272K like,9.1 dislike,"6,269 komment",SWV Weak című dalának adatai,Weak,SWV,It's About Time,Contemporary R&B,1992,,Tudj meg még többet SWV Weak című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Weak_(SWV_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/15641142?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/2BBrAtWY0c6dPio5b2JYFK"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T6o6vkgsecwdhnjtnblztyfir5a?play=1"",""Google Play"")",SWV Weak dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/swv/weak.html"",""SWV Weak dalszöveg"")"
Can't Help Falling - UB40 - 1993,A Weak harmadik kiadása a About About Time című kiadványban jelent meg. 1993 júliusában két hétig az USA Billboard Hot 100-as lista első helyén szerepelt. ,"A dalt Brian Alexander Morgan írta és készítette , aki a dalszövegeket az énekesnő Chanté Moore iránti érzései alapján komponálta. Morgan eredetileg Charlie Wilsonnak írta a dalt , de később úgy döntött, hogy a dalt az SWV-nek adja át.",Can't Help Falling a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1993-07-24"",""Billboard Hot 100 (USA) - 1., 1993. július 24. - 1993. szeptember 11."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/falling%20in%20love%20with%20you/"",""Offizielle Deutsche Charts (DE) - 1., 1993. május 22."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2632"",""Offizielle Deutsche Charts (DE) - 2., 1993. június 14."")",UB40 Can't Help Falling In Love a YouTube oldalán,https://www.youtube.com/watch?v=vUdloUqZa7w,https://youtu.be/vUdloUqZa7w,2019. szeptember 09-én,"37,391,708 megtekintés",161K like,5.9K dislike,"3,900 komment",UB40 Can't Help Falling In Love című dalának adatai,Can't Help Falling,UB40,Promises and Lies,Pop,1993,MTV Film Award a legjobb zenei pillanatért jelölés,Tudj meg még többet UB40 Can't Help Falling In Love című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Can%27t_Help_Falling_in_Love"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/3144597?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/0B0RuH2PSWoEkIvi75xY5d"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tp2dkm3krqsdkxy6nno263l3ddq?play=1"",""Google Play"")",UB40 Can't Help Falling In Love dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/ub40/icanthelpfallinginlovewithyou.html"",""UB40 Can't Help Falling In Love dalszöveg"")"
Dreamlover - Mariah Carey - 1993,"A dal erős, világszerte sikeres volt. Carey hetedik toplistájává vált az USA Billboard Hot 100 -on, amit nyolc hétig vezetett. ","A Dreamlover egy közepes tempójú pop és könnyű R&B dal.  Ausztráliában, Hollandiában, Új-Zélandon és az Egyesült Királyságban a tíz legjobb dal közé jutott. ",Dreamlover a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1993-09-11"",""Billboard Hot 100 (USA) - 1., 1993. szeptember 11. - 1993. november 6."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/dreamlover/"",""Offizielle Deutsche Charts (DE) - 9., 1993. augusztus 21."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2672"",""Offizielle Deutsche Charts (DE) - 14., 1993. szeptember 6."")",Mariah Carey Dreamlover a YouTube oldalán,https://www.youtube.com/watch?v=CqBtS6BIP1E,https://youtu.be/CqBtS6BIP1E,2019. szeptember 10-én,"25,895,784 megtekintés",100K like,3.9K dislike,"6,302 komment",Mariah Carey Dreamlover című dalának adatai,Dreamlover,Mariah Carey,Music Box,Pop,1993,,Tudj meg még többet Mariah Carey Dreamlover című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Dreamlover_(song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/99675074?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6kRdK7cPgLqNfSoI7AMlyj"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Ta34floazyuhpq2uxphilbguuqm?play=1"",""Google Play"")",Mariah Carey Dreamlover dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/mariahcarey/dreamlover.html"",""Mariah Carey Dreamlover dalszöveg"")"
I'd Do Anything for Love - Meat Loaf - 1993,"A dal 1993- ban jelent meg, mint az első kislemez a Bat Out of Hell II: Back to Hell albumból. Meat Loaf első és egyetlen számú kislemezévé vált a Billboard Hot 100-on, ahol több hétig vezette a listát. ","A dal vége felé Patti Russo éneke is hallható, mely álltal duettként zárul a dal. ",I'd Do Anything for Love a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1993-11-06"",""Billboard Hot 100 (USA) - 1., 1993. november 6. - 1993. december 11."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/i'd%20do%20anything%20for%20love/"",""Offizielle Deutsche Charts (DE) - 1., 1993. október 9."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2693"",""Offizielle Deutsche Charts (DE) - 1., 1993. október 25."")",Meat Loaf I'd Do Anything For Love a YouTube oldalán,https://www.youtube.com/watch?v=9X_ViIPA-Gc,https://youtu.be/9X_ViIPA-Gc,2019. szeptember 10-én,75 322 415 megtekintés,318K like,14K dislike,13 681 komment,Meat Loaf I'd Do Anything For Love című dalának adatai,I'd Do Anything for Love,Meat Loaf ,Bat Out of Hell II: Back into Hell,Progressive rockhard rock,1993,Grammy-díj:A legjobb rock énekes,Tudj meg még többet Meat Loaf I'd Do Anything For Love című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/I%27d_Do_Anything_for_Love_(But_I_Won%27t_Do_That)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/3167596?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/4yIGqIF5oroPCLDUOOLYSO"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tfqx3qwcbf56moheuy4s5s2syzu?play=1"",""Google Play"")",Meat Loaf I'd Do Anything For Love dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/meatloaf/iddoanythingforlovebutiwontdothat.html"",""Meat Loaf I'd Do Anything For Love dalszöveg"")"
Again - Janet Jackson - 1993,"Az Again című dal kereskedelmi sikerr volt, mi sem bizonyítja jobban mint, hogy 1993 végén két hétig uralta az USA Billboard Hot 100-as listáját. ","Az Again című dalt beillesztették a  Poetic Justice  film záró dalává, de a zeneszám albumán nem szerepelhetett. ",,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1993-12-11"",""Billboard Hot 100 (USA) - 1., 1993. december 11. - 1993. december 25."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/again/"",""Offizielle Deutsche Charts (DE) - 6., 1993. november 20."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2733"",""Offizielle Deutsche Charts (DE) - 29., 1993. december 6."")",Janet Jackson Again a YouTube oldalán,https://www.youtube.com/watch?v=qUHtwV8wkOU,https://youtu.be/qUHtwV8wkOU,2019. szeptember 10-én,"511,701 megtekintés",2.5K like,87 dislike,120 komment,Janet Jackson Again című dalának adatai,Again,Janet Jackson,Janet,Contemporary R&B,1993,,Tudj meg még többet Janet Jackson Again című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Again_(Janet_Jackson_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/3138787?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/0KT3zsxr4Dh1z4M6N35LEN"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Trl44iim2kw5ixre5cizphjw5km?play=1"",""Google Play"")",Janet Jackson Again dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/janetjackson/again.html"",""Janet Jackson Again dalszöveg"")"
Hero - Mariah Carey - 1993,"A Hero című dal nemzetközi piacon is nagy sikert aratott, a Billboard Hot 100-as listát is vezette heteken át. ","1993. október 19-én adták ki a Columbia Records-on keresztül, Carey harmadik stúdió-albumának , a Music Box (1993) második kislemezének . A dalt eredetileg Gloria Estefannak szánták , Mariah és Walter Afanasieff írta és készítette.",Hero a zeneilistákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1993-12-25"",""Billboard Hot 100 (USA) - 1., 1993. december 25. - 1994. január 22."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/hero/"",""Offizielle Deutsche Charts (DE) - 7., 1993. november 6."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-11050"",""Offizielle Deutsche Charts (DE) - 41., 1993. december 13."")",Mariah Carey Hero a YouTube oldalán,https://www.youtube.com/watch?v=0IA3ZvCkRkQ,https://youtu.be/0IA3ZvCkRkQ,2019. szeptember 11-én,"227,641,665 megtekintés",685K like,31K dislike,"27,333 komment",Mariah Carey Hero dalának adatai,Hero,Mariah Carey ,Music Box,Pop,1993,,Tudj meg még többet Mariah Carey Hero című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Hero_(Mariah_Carey_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/sv/track/596015?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/2NKxb7pk04CuZab5udkGUl"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Ty4435uqsfochacslrwxk4zsc5m?play=1"",""Google Play"")",Mariah Carey Hero dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/mariahcarey/hero.html"",""Mariah Carey Hero dalszöveg"")"
